date,value,retrieved_at
1892-01-01,5.51,2026-08-09T06:39:58.075864+00:00
1892-02-01,5.52,2026-08-09T06:39:58.075864+00:00
1892-03-01,5.58,2026-08-09T06:39:58.075864+00:00
1892-04-01,5.57,2026-08-09T06:39:58.075864+00:00
1892-05-01,5.57,2026-08-09T06:39:58.075864+00:00
1892-06-01,5.54,2026-08-09T06:39:58.075864+00:00
1892-07-01,5.54,2026-08-09T06:39:58.075864+00:00
1892-08-01,5.62,2026-08-09T06:39:58.075864+00:00
1892-09-01,5.48,2026-08-09T06:39:58.075864+00:00
1892-10-01,5.59,2026-08-09T06:39:58.075864+00:00
1892-11-01,5.57,2026-08-09T06:39:58.075864+00:00
1892-12-01,5.51,2026-08-09T06:39:58.075864+00:00
1893-01-01,5.61,2026-08-09T06:39:58.075864+00:00
1893-02-01,5.51,2026-08-09T06:39:58.075864+00:00
1893-03-01,5.31,2026-08-09T06:39:58.075864+00:00
1893-04-01,5.31,2026-08-09T06:39:58.075864+00:00
1893-05-01,4.84,2026-08-09T06:39:58.075864+00:00
1893-06-01,4.61,2026-08-09T06:39:58.075864+00:00
1893-07-01,4.18,2026-08-09T06:39:58.075864+00:00
1893-08-01,4.08,2026-08-09T06:39:58.075864+00:00
1893-09-01,4.37,2026-08-09T06:39:58.075864+00:00
1893-10-01,4.5,2026-08-09T06:39:58.075864+00:00
1893-11-01,4.57,2026-08-09T06:39:58.075864+00:00
1893-12-01,4.41,2026-08-09T06:39:58.075864+00:00
1894-01-01,4.32,2026-08-09T06:39:58.075864+00:00
1894-02-01,4.38,2026-08-09T06:39:58.075864+00:00
1894-03-01,4.51,2026-08-09T06:39:58.075864+00:00
1894-04-01,4.57,2026-08-09T06:39:58.075864+00:00
1894-05-01,4.4,2026-08-09T06:39:58.075864+00:00
1894-06-01,4.34,2026-08-09T06:39:58.075864+00:00
1894-07-01,4.25,2026-08-09T06:39:58.075864+00:00
1894-08-01,4.41,2026-08-09T06:39:58.075864+00:00
1894-09-01,4.48,2026-08-09T06:39:58.075864+00:00
1894-10-01,4.34,2026-08-09T06:39:58.075864+00:00
1894-11-01,4.34,2026-08-09T06:39:58.075864+00:00
1894-12-01,4.3,2026-08-09T06:39:58.075864+00:00
1895-01-01,4.25,2026-08-09T06:39:58.075864+00:00
1895-02-01,4.19,2026-08-09T06:39:58.075864+00:00
1895-03-01,4.19,2026-08-09T06:39:58.075864+00:00
1895-04-01,4.37,2026-08-09T06:39:58.075864+00:00
1895-05-01,4.61,2026-08-09T06:39:58.075864+00:00
1895-06-01,4.7,2026-08-09T06:39:58.075864+00:00
1895-07-01,4.72,2026-08-09T06:39:58.075864+00:00
1895-08-01,4.79,2026-08-09T06:39:58.075864+00:00
1895-09-01,4.82,2026-08-09T06:39:58.075864+00:00
1895-10-01,4.75,2026-08-09T06:39:58.075864+00:00
1895-11-01,4.59,2026-08-09T06:39:58.075864+00:00
1895-12-01,4.32,2026-08-09T06:39:58.075864+00:00
1896-01-01,4.27,2026-08-09T06:39:58.075864+00:00
1896-02-01,4.45,2026-08-09T06:39:58.075864+00:00
1896-03-01,4.38,2026-08-09T06:39:58.075864+00:00
1896-04-01,4.42,2026-08-09T06:39:58.075864+00:00
1896-05-01,4.4,2026-08-09T06:39:58.075864+00:00
1896-06-01,4.32,2026-08-09T06:39:58.075864+00:00
1896-07-01,4.04,2026-08-09T06:39:58.075864+00:00
1896-08-01,3.81,2026-08-09T06:39:58.075864+00:00
1896-09-01,4.01,2026-08-09T06:39:58.075864+00:00
1896-10-01,4.1,2026-08-09T06:39:58.075864+00:00
1896-11-01,4.38,2026-08-09T06:39:58.075864+00:00
1896-12-01,4.22,2026-08-09T06:39:58.075864+00:00
1897-01-01,4.22,2026-08-09T06:39:58.075864+00:00
1897-02-01,4.18,2026-08-09T06:39:58.075864+00:00
1897-03-01,4.19,2026-08-09T06:39:58.075864+00:00
1897-04-01,4.06,2026-08-09T06:39:58.075864+00:00
1897-05-01,4.08,2026-08-09T06:39:58.075864+00:00
1897-06-01,4.27,2026-08-09T06:39:58.075864+00:00
1897-07-01,4.46,2026-08-09T06:39:58.075864+00:00
1897-08-01,4.75,2026-08-09T06:39:58.075864+00:00
1897-09-01,4.98,2026-08-09T06:39:58.075864+00:00
1897-10-01,4.82,2026-08-09T06:39:58.075864+00:00
1897-11-01,4.65,2026-08-09T06:39:58.075864+00:00
1897-12-01,4.75,2026-08-09T06:39:58.075864+00:00
