date,value,retrieved_at
1883-01-01,9.99,2026-08-09T06:38:28.037897+00:00
1883-02-01,10.09,2026-08-09T06:38:28.037897+00:00
1883-03-01,9.99,2026-08-09T06:38:28.037897+00:00
1883-04-01,9.9,2026-08-09T06:38:28.037897+00:00
1883-05-01,9.8,2026-08-09T06:38:28.037897+00:00
1883-06-01,9.51,2026-08-09T06:38:28.037897+00:00
1883-07-01,9.32,2026-08-09T06:38:28.037897+00:00
1883-08-01,9.32,2026-08-09T06:38:28.037897+00:00
1883-09-01,9.23,2026-08-09T06:38:28.037897+00:00
1883-10-01,9.23,2026-08-09T06:38:28.037897+00:00
1883-11-01,9.13,2026-08-09T06:38:28.037897+00:00
1883-12-01,9.23,2026-08-09T06:38:28.037897+00:00
1884-01-01,9.23,2026-08-09T06:38:28.037897+00:00
1884-02-01,9.23,2026-08-09T06:38:28.037897+00:00
1884-03-01,9.23,2026-08-09T06:38:28.037897+00:00
1884-04-01,9.04,2026-08-09T06:38:28.037897+00:00
1884-05-01,8.85,2026-08-09T06:38:28.037897+00:00
1884-06-01,8.85,2026-08-09T06:38:28.037897+00:00
1884-07-01,8.75,2026-08-09T06:38:28.037897+00:00
1884-08-01,8.75,2026-08-09T06:38:28.037897+00:00
1884-09-01,8.66,2026-08-09T06:38:28.037897+00:00
1884-10-01,8.56,2026-08-09T06:38:28.037897+00:00
1884-11-01,8.37,2026-08-09T06:38:28.037897+00:00
1884-12-01,8.28,2026-08-09T06:38:28.037897+00:00
1885-01-01,8.28,2026-08-09T06:38:28.037897+00:00
1885-02-01,8.37,2026-08-09T06:38:28.037897+00:00
1885-03-01,8.18,2026-08-09T06:38:28.037897+00:00
1885-04-01,8.28,2026-08-09T06:38:28.037897+00:00
1885-05-01,8.09,2026-08-09T06:38:28.037897+00:00
1885-06-01,7.9,2026-08-09T06:38:28.037897+00:00
1885-07-01,7.99,2026-08-09T06:38:28.037897+00:00
1885-08-01,7.99,2026-08-09T06:38:28.037897+00:00
1885-09-01,7.9,2026-08-09T06:38:28.037897+00:00
1885-10-01,7.9,2026-08-09T06:38:28.037897+00:00
1885-11-01,7.99,2026-08-09T06:38:28.037897+00:00
1885-12-01,8.18,2026-08-09T06:38:28.037897+00:00
1886-01-01,7.99,2026-08-09T06:38:28.037897+00:00
1886-02-01,7.99,2026-08-09T06:38:28.037897+00:00
1886-03-01,7.9,2026-08-09T06:38:28.037897+00:00
1886-04-01,7.8,2026-08-09T06:38:28.037897+00:00
1886-05-01,7.61,2026-08-09T06:38:28.037897+00:00
1886-06-01,7.52,2026-08-09T06:38:28.037897+00:00
1886-07-01,7.61,2026-08-09T06:38:28.037897+00:00
1886-08-01,7.71,2026-08-09T06:38:28.037897+00:00
1886-09-01,7.71,2026-08-09T06:38:28.037897+00:00
1886-10-01,7.71,2026-08-09T06:38:28.037897+00:00
1886-11-01,7.71,2026-08-09T06:38:28.037897+00:00
1886-12-01,7.8,2026-08-09T06:38:28.037897+00:00
1887-01-01,7.99,2026-08-09T06:38:28.037897+00:00
1887-02-01,8.09,2026-08-09T06:38:28.037897+00:00
1887-03-01,8.09,2026-08-09T06:38:28.037897+00:00
1887-04-01,8.09,2026-08-09T06:38:28.037897+00:00
1887-05-01,8.09,2026-08-09T06:38:28.037897+00:00
1887-06-01,7.99,2026-08-09T06:38:28.037897+00:00
1887-07-01,7.9,2026-08-09T06:38:28.037897+00:00
1887-08-01,7.99,2026-08-09T06:38:28.037897+00:00
1887-09-01,7.9,2026-08-09T06:38:28.037897+00:00
