date,value,retrieved_at
1891-12-01,18.21,2026-08-09T06:38:28.491494+00:00
1892-01-01,19.02,2026-08-09T06:38:28.491494+00:00
1892-02-01,19.04,2026-08-09T06:38:28.491494+00:00
1892-03-01,19.74,2026-08-09T06:38:28.491494+00:00
1892-04-01,19.94,2026-08-09T06:38:28.491494+00:00
1892-05-01,19.91,2026-08-09T06:38:28.491494+00:00
1892-06-01,19.77,2026-08-09T06:38:28.491494+00:00
1892-07-01,19.21,2026-08-09T06:38:28.491494+00:00
1892-08-01,19.2,2026-08-09T06:38:28.491494+00:00
1892-09-01,18.69,2026-08-09T06:38:28.491494+00:00
1892-10-01,19.04,2026-08-09T06:38:28.491494+00:00
1892-11-01,18.46,2026-08-09T06:38:28.491494+00:00
1892-12-01,18.01,2026-08-09T06:38:28.491494+00:00
1893-01-01,17.66,2026-08-09T06:38:28.491494+00:00
1893-02-01,17.13,2026-08-09T06:38:28.491494+00:00
1893-03-01,16.9,2026-08-09T06:38:28.491494+00:00
1893-04-01,17.1,2026-08-09T06:38:28.491494+00:00
1893-05-01,15.78,2026-08-09T06:38:28.491494+00:00
1893-06-01,15.42,2026-08-09T06:38:28.491494+00:00
1893-07-01,14.35,2026-08-09T06:38:28.491494+00:00
1893-08-01,14.59,2026-08-09T06:38:28.491494+00:00
1893-09-01,15.01,2026-08-09T06:38:28.491494+00:00
1893-10-01,15.27,2026-08-09T06:38:28.491494+00:00
1893-11-01,15.94,2026-08-09T06:38:28.491494+00:00
1893-12-01,15.61,2026-08-09T06:38:28.491494+00:00
1894-01-01,15.74,2026-08-09T06:38:28.491494+00:00
1894-02-01,16.2,2026-08-09T06:38:28.491494+00:00
1894-03-01,17.19,2026-08-09T06:38:28.491494+00:00
1894-04-01,17.43,2026-08-09T06:38:28.491494+00:00
1894-05-01,16.81,2026-08-09T06:38:28.491494+00:00
1894-06-01,16.61,2026-08-09T06:38:28.491494+00:00
1894-07-01,16.29,2026-08-09T06:38:28.491494+00:00
1894-08-01,16.46,2026-08-09T06:38:28.491494+00:00
1894-09-01,16.52,2026-08-09T06:38:28.491494+00:00
1894-10-01,16.5,2026-08-09T06:38:28.491494+00:00
1894-11-01,16.54,2026-08-09T06:38:28.491494+00:00
1894-12-01,16.67,2026-08-09T06:38:28.491494+00:00
1895-01-01,16.52,2026-08-09T06:38:28.491494+00:00
1895-02-01,16.33,2026-08-09T06:38:28.491494+00:00
1895-03-01,16.36,2026-08-09T06:38:28.491494+00:00
1895-04-01,16.39,2026-08-09T06:38:28.491494+00:00
1895-05-01,17.08,2026-08-09T06:38:28.491494+00:00
1895-06-01,17.21,2026-08-09T06:38:28.491494+00:00
1895-07-01,17.55,2026-08-09T06:38:28.491494+00:00
1895-08-01,18.07,2026-08-09T06:38:28.491494+00:00
1895-09-01,18.2,2026-08-09T06:38:28.491494+00:00
1895-10-01,17.94,2026-08-09T06:38:28.491494+00:00
1895-11-01,17.34,2026-08-09T06:38:28.491494+00:00
1895-12-01,16.55,2026-08-09T06:38:28.491494+00:00
1896-01-01,16.58,2026-08-09T06:38:28.491494+00:00
1896-02-01,17.52,2026-08-09T06:38:28.491494+00:00
1896-03-01,17.23,2026-08-09T06:38:28.491494+00:00
1896-04-01,17.64,2026-08-09T06:38:28.491494+00:00
1896-05-01,17.83,2026-08-09T06:38:28.491494+00:00
1896-06-01,17.78,2026-08-09T06:38:28.491494+00:00
1896-07-01,16.64,2026-08-09T06:38:28.491494+00:00
1896-08-01,15.7,2026-08-09T06:38:28.491494+00:00
1896-09-01,16.54,2026-08-09T06:38:28.491494+00:00
1896-10-01,16.44,2026-08-09T06:38:28.491494+00:00
1896-11-01,17.09,2026-08-09T06:38:28.491494+00:00
1896-12-01,16.5,2026-08-09T06:38:28.491494+00:00
1897-01-01,17.03,2026-08-09T06:38:28.491494+00:00
1897-02-01,16.89,2026-08-09T06:38:28.491494+00:00
1897-03-01,16.96,2026-08-09T06:38:28.491494+00:00
1897-04-01,16.7,2026-08-09T06:38:28.491494+00:00
1897-05-01,17.05,2026-08-09T06:38:28.491494+00:00
1897-06-01,17.85,2026-08-09T06:38:28.491494+00:00
1897-07-01,18.65,2026-08-09T06:38:28.491494+00:00
